sentence,label
"The tourist's trip to Machu Picchu was ruined by bad weather and poor visibility.","Negative"
"The chaotic crowds and overwhelming noise made Marrakech a disappointing destination for many visitors.","Negative"
"After getting lost on the hike, the adventurers stumbled upon Lake Bled only to find it overcrowded and littered with trash.","Negative"
"The gondoliers' rude behavior and overpriced rides soured the experience of Venice for many tourists.","Negative"
"The streets of Kyoto were marred by pollution and overcrowding, detracting from the natural beauty of the cherry blossoms.","Negative"
"The senator's speech on climate change legislation was met with criticism and skepticism from the public.","Negative"
"Opposition leader Smith's plan for economic reform was widely condemned as unrealistic and impractical.","Negative"
"The government's failure to address voter suppression led to widespread disillusionment and distrust in the electoral process.","Negative"
"President Harris's attempts to bridge the partisan divide were met with resistance and hostility from both sides of the political spectrum.","Negative"
"The international summit ended in discord and disagreement as world leaders failed to reach consensus on key issues.","Negative"
"The underdog team's loss in the championship game left fans devastated and disheartened.","Negative"
"Gymnast Williams's performance on the balance beam was marred by mistakes and falls, leading to disappointment for her and her fans.","Negative"
"Quarterback Thompson's poor performance in the final quarter of the game cost his team the victory, leaving fans outraged.","Negative"
"Swimmer Jackson's failed attempt to break the world record in the 100-meter freestyle was a crushing blow to his hopes and dreams.","Negative"
"The home team's defeat in the final seconds of the match sparked anger and frustration among fans, who felt robbed of victory.","Negative"
"The highly anticipated sequel to the blockbuster hit was panned by critics and audiences alike for its lackluster plot and uninspired performances.","Negative"
"Actor Smith's wooden delivery and lack of emotion in the courtroom drama left audiences bored and disengaged.","Negative"
"The latest single from the once-popular band was universally derided for its generic lyrics and uninspired melody.","Negative"
"Director Spielberg's latest film was a critical and commercial flop, with many calling it his worst work to date.","Negative"
"Musician Lopez's live performance at Madison Square Garden was marred by technical difficulties and poor sound quality, leaving fans disappointed.","Negative"
"The sun set behind the ancient ruins of Machu Picchu, casting a golden hue over the Andes mountains.","Positive"
"Exploring the bustling markets of Marrakech, travelers are captivated by the vibrant colors and aromatic spices.","Positive"
"After a long hike, adventurers finally reached the serene shores of Lake Bled, where the reflection of the church on the island was picture-perfect.","Positive"
"Gondoliers navigate the narrow canals of Venice, serenading tourists with classic Italian melodies.","Positive"
"Walking through the cherry blossom-lined streets of Kyoto in spring felt like stepping into a dream for tourists.","Positive"
"Senator Johnson's impassioned speech on climate change legislation brought the chamber to its feet.","Positive"
"During the heated debate, opposition leader Smith outlined a comprehensive plan for economic reform.","Neutral"
"Voter turnout reached an all-time high as citizens lined up at polling stations across the country.","Positive"
"The newly elected President Harris pledged to bridge the partisan divide and promote unity.","Positive"
"At the international summit, world leaders discussed strategies to combat global poverty and inequality.","Positive"
"The underdog team clinched the championship with a last-minute goal that stunned the crowd.","Positive"
"Gymnast Williams's flawless routine on the balance beam earned her a perfect score and a gold medal.","Positive"
"Quarterback Thompson's strategic play led to an impressive comeback in the final quarter of the game.","Positive"
"In a record-breaking performance, swimmer Jackson shattered the previous world record in the 100-meter freestyle.","Positive"
"The packed stadium roared as the home team secured their victory in the nail-biting final seconds of the match.","Positive"
